primary_genre,lead_actor,director,production_company,vote_count,popularity,revenue,budget
Action,50 Cent,Mike Gunther,Grindstone Entertainment Group,150,4.9,2128186,20000000
Action,Aamir Khan,Vijay Krishna Acharya,Yash Raj Films,86,5.3,91000000,19500000
Action,Aaron Eckhart,Jon Amiel,Paramount Pictures,531,11.7,74208267,60000000
Action,Aaron Eckhart,Jonathan Liebesman,Columbia Pictures,1462,6.8,202466756,70000000
Action,Aaron Paul,Scott Waugh,DreamWorks SKG,1560,18.3,203277636,66000000
Action,Aaron Taylor-Johnson,Gareth Edwards,Toho Company,3232,14.0,529076069,160000000
Action,Aaron Taylor-Johnson,Jeff Wadlow,Universal Pictures,2275,13.6,60700000,28000000
Action,Aaron Taylor-Johnson,Matthew Vaughn,Lionsgate,4747,17.3,96188903,28000000
Action,Abhishek Bachchan,Goldie Behl,Unknown,5,0.8,3250000,15000000
Action,Abhishek Bachchan,Mani Ratnam,Madras Talkies,15,1.2,4200000,4500000
Action,Abhishek Bachchan,Sanjay Gadhvi,Yash Raj Films,53,3.1,12000000,1500000
Action,Adam Sandler,Chris Columbus,Columbia Pictures,2564,21.1,243637091,88000000
Action,Ajith Kumar,A.R. Murugadoss,Vijayam Cine Combines,5,0.3,500000,500000
Action,Ajith Kumar,K. S. Ravikumar,Nic Arts,5,0.5,500000,500000
Action,Ajith Kumar,Siva,Vijaya Productions,11,1.9,19000000,5900000
Action,Ajith Kumar,Vasanth,Unknown,2,0.4,500000,500000
Action,Ajith Kumar,Venkat Prabhu,Sun Pictures,14,1.1,28000000,6100000
Action,Ajith Kumar,Vishnuvardhan,Sri Sathya Sai Movies,8,0.9,21000000,9200000
Action,Akira Terao,Akira Kurosawa,Nippon Herald Films,349,12.3,4069653,11500000
Action,Akshay Kumar,Anees Bazmee,Reliance Entertainment,22,1.4,25000000,14000000
Action,Akshay Kumar,Nikhil Advani,Warner Bros.,13,2.0,9400000,10500000
Action,Akshay Kumar,Prabhu Deva,SLB Films Pvt. Ltd.,24,1.3,31000000,6700000
Action,Al Pacino,Brian De Palma,Universal Pictures,1911,10.0,51200358,27500000
